oral cavity,"Good oral hygiene, mucosa moist and pink, no ulcerations or petechiae",,
neck examine,normal,,
chest examine,Normal,Chest looks a little enlarged with a mild barrel shape. No other obvious abnormalities,
cardiac auscultation,"RRR, Normal S1 S2 with normal inspiratory split, no murmurs, rubs or gallops","Tachycardic rate, rhythm is regular, normal S1 S2, audible S3. ","Systolic murmur best heard over the aortic area, RRR, Normal S1 S2, no rubs or gallops"
lld,Normal,,
jvd,None,"Increased, measured at 12cm",
PMI,Normal,Slightly more lateral and posterior of the midclavicular line,
carotid auscultation,No bruits auscultated,,
capillary refill,Less than 3 seconds,,
back examine,Normal,,
lungs auscultation,"CTAB, no wheezes, crackles, pops",,
lungs percussion,Normal,,
lungs fremitis,Normal,,
lungs egophony,Normal,,
lungs expansion,Normal,,
abdomen examine,Normal,,
bowel sounds,Normal,,
abdomen palpation,"Soft, nontender, no distension",,
guarding,None,,
rebound,None,,
rom spine,Normal,,
rom extremities,Normal,,
joint erythema,None,,
joint tenderness,None,,
strength,Normal,,
gait,Normal,,
examine extremities,Normal,,
edema,None,,
peripheral pulses,Normal,,
cn 2-12,Normal,,
sensation,Normal,,
reflexes,Normal,,
ftn,Normal,,
ram,Normal,,
heel to shin,Normal,,
heel walk,Normal,,
toe walk,Normal,,
rhomberg,Normal,,
